País Português,22/01/20,23/01/20,24/01/20,25/01/20,26/01/20,27/01/20,28/01/20,29/01/20,30/01/20,31/01/20,01/02/20,02/02/20,03/02/20,04/02/20,05/02/20,06/02/20,07/02/20,08/02/20,09/02/20,10/02/20,11/02/20,12/02/20,13/02/20,14/02/20,15/02/20,16/02/20,17/02/20,18/02/20,19/02/20,20/02/20,21/02/20,22/02/20,23/02/20,24/02/20,25/02/20,26/02/20,27/02/20,28/02/20,29/02/20,01/03/20,02/03/20,03/03/20,04/03/20,05/03/20,06/03/20,07/03/20,08/03/20,09/03/20,10/03/20,11/03/20,12/03/20,13/03/20,14/03/20,15/03/20,16/03/20,17/03/20,18/03/20,19/03/20,20/03/20,21/03/20,22/03/20,23/03/20,24/03/20,25/03/20,26/03/20,27/03/20,28/03/20,29/03/20,30/03/20,31/03/20,01/04/20,02/04/20,03/04/20,04/04/20,05/04/20,06/04/20,07/04/20,08/04/20,09/04/20,10/04/20,11/04/20,12/04/20,13/04/20,14/04/20,15/04/20,16/04/20,17/04/20,18/04/20,19/04/20,20/04/20,21/04/20,22/04/20,23/04/20,24/04/20,25/04/20,26/04/20,27/04/20,28/04/20,29/04/20,30/04/20,01/05/20,02/05/20,03/05/20,04/05/20,05/05/20,06/05/20,07/05/20,08/05/20,09/05/20,10/05/20,11/05/20,12/05/20,13/05/20,14/05/20
Noruega,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0553,0.0553,0.0553,0.0553,0.1107,0.1291,0.1291,0.1291,0.1291,0.1845,0.2214,0.2582,0.2582,0.3505,0.4243,0.4611,0.5903,0.7194,0.8116,0.9223,1.0883,1.1436,1.3097,1.4019,1.6417,1.863,1.9922,2.0844,2.1951,2.3611,2.4718,2.564,2.7669,2.8038,2.9698,3.0251,3.0436,3.3387,3.3572,3.4494,3.5785,3.6707,3.7076,3.7076,3.7814,3.7999,3.8183,3.8737,3.8737,3.8921,3.8921,3.9474,3.9659,3.9843,4.0028,4.0212,4.0397,4.0397,4.1319,4.2057,4.2241,4.2795
Omã,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196,0.0196,0.0196,0.0196,0.0392,0.0392,0.0392,0.0392,0.0392,0.0587,0.0587,0.0587,0.0783,0.0783,0.0783,0.0783,0.0783,0.1175,0.1175,0.1371,0.1371,0.1567,0.1567,0.1762,0.1958,0.1958,0.1958,0.1958,0.1958,0.1958,0.2154,0.2154,0.235,0.235,0.235,0.2546,0.2546,0.2937,0.3133,0.3329,0.3329,0.3329,0.3329,0.3329,0.3525
Paquistão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0014,0.0014,0.0023,0.0027,0.0032,0.0036,0.0041,0.005,0.0054,0.0063,0.0095,0.0118,0.0122,0.0154,0.0181,0.0186,0.0213,0.024,0.0258,0.0276,0.0294,0.0299,0.0389,0.0412,0.0421,0.0435,0.0503,0.0579,0.0611,0.0647,0.0761,0.0797,0.091,0.096,0.1073,0.1145,0.1218,0.1272,0.1322,0.1412,0.1553,0.1743,0.1888,0.1992,0.2069,0.2155,0.2327,0.2553,0.2648,0.2712,0.2879,0.2983,0.3196,0.3336,0.3445,0.3486
Panamá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0232,0.0232,0.0232,0.0232,0.0232,0.0232,0.0232,0.0232,0.0232,0.0232,0.0232,0.0695,0.1391,0.1391,0.1854,0.1854,0.2086,0.3245,0.394,0.5562,0.6953,0.6953,0.7416,0.8575,0.9502,1.0661,1.2515,1.2747,1.3674,1.4601,1.5296,1.715,1.8309,2.0163,2.1786,2.2017,2.3872,2.5262,2.6884,2.7811,2.9202,3.152,3.2678,3.3837,3.5691,3.685,3.8241,3.8704,3.8704,4.1254,4.3571,4.4498,4.5657,4.5657,4.6352,4.867,5.0524,5.2147,5.3537,5.4928,5.655,5.7709,5.8404,5.9331,6.0258
Papua-Nova Guiné,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paraguai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.014,0.014,0.028,0.0421,0.0421,0.0421,0.0421,0.0421,0.0421,0.0421,0.0421,0.0421,0.0421,0.0421,0.0421,0.0701,0.0701,0.0701,0.0701,0.0841,0.0841,0.0841,0.0841,0.0981,0.1122,0.1122,0.1122,0.1122,0.1122,0.1122,0.1122,0.1262,0.1262,0.1262,0.1262,0.1262,0.1262,0.1262,0.1262,0.1402,0.1402,0.1402,0.1402,0.1402,0.1402,0.1402,0.1402,0.1402,0.1402,0.1402,0.1402,0.1402,0.1542,0.1542
Peru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091,0.0152,0.0152,0.0152,0.0212,0.0273,0.0273,0.0334,0.0485,0.0546,0.0728,0.091,0.1152,0.1668,0.185,0.2214,0.2517,0.279,0.3245,0.367,0.4185,0.5126,0.549,0.5853,0.6551,0.6976,0.7704,0.831,0.9099,1.0554,1.2132,1.3496,1.4679,1.6074,1.7348,1.9229,2.123,2.2079,2.3717,2.5901,2.86,3.1876,3.409,3.6395,3.9003,4.0762,4.3795,4.6494,4.9345,5.1984,5.5017,5.7291,5.9475,6.2387,6.5783,6.8756
Filipinas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0018,0.0046,0.0073,0.01,0.011,0.011,0.0173,0.0155,0.0164,0.0173,0.0228,0.0301,0.0319,0.0347,0.0411,0.0493,0.0621,0.0648,0.0712,0.0803,0.0876,0.0976,0.1241,0.1314,0.1387,0.1487,0.1615,0.1661,0.1853,0.2017,0.2254,0.271,0.2875,0.3057,0.3185,0.3303,0.3532,0.3623,0.3732,0.3906,0.3988,0.407,0.4216,0.4353,0.4508,0.4572,0.4663,0.4837,0.5092,0.5183,0.5284,0.5503,0.5539,0.5685,0.5813,0.6005,0.6251,0.6351,0.6424,0.6561,0.6625,0.6853,0.7045,0.7209
Polónia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.0053,0.0079,0.0079,0.0106,0.0132,0.0132,0.0132,0.0132,0.0132,0.0185,0.0211,0.0264,0.037,0.0423,0.0423,0.0476,0.0581,0.0819,0.0872,0.1136,0.1506,0.1876,0.2087,0.2484,0.2827,0.3408,0.4201,0.4598,0.4782,0.5496,0.613,0.6473,0.6949,0.7557,0.8297,0.8772,0.9169,0.9512,1.0041,1.0595,1.1256,1.1996,1.3053,1.3845,1.4136,1.4849,1.5748,1.6488,1.7016,1.7201,1.7545,1.7914,1.8443,1.8918,1.9368,1.9949,2.0504,2.0742,2.1138,2.1429,2.2168,2.275,2.3331
Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0098,0.0196,0.0294,0.0588,0.1177,0.1373,0.2256,0.3236,0.4217,0.5884,0.7453,0.9807,1.167,1.373,1.5691,1.8339,2.0497,2.4125,2.6087,2.8931,3.05,3.3834,3.7267,4.0111,4.2661,4.6093,4.9428,5.2468,5.5606,5.8744,6.1687,6.4433,6.7375,7.0023,7.2082,7.473,7.6986,8.0418,8.3753,8.6302,8.8558,9.101,9.2971,9.5423,9.6992,9.8757,10.0326,10.2288,10.4249,10.5328,10.6799,10.8368,10.9251,11.0428,11.131,11.2193,11.4056,11.5233,11.6116
Catar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0347,0.0347,0.0347,0.0694,0.0694,0.1041,0.1041,0.1041,0.1388,0.1388,0.2083,0.2083,0.2083,0.2083,0.2083,0.243,0.243,0.243,0.243,0.243,0.243,0.2777,0.2777,0.3124,0.3124,0.3471,0.3471,0.3471,0.3471,0.3471,0.3471,0.3471,0.3471,0.3471,0.4165,0.4165,0.4165,0.4165,0.4165,0.4165,0.4165,0.4165,0.4512,0.4859,0.4859,0.4859,0.4859,0.4859
Roménia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156,0.0364,0.0572,0.0884,0.1196,0.1352,0.1923,0.2235,0.3379,0.4262,0.4782,0.5978,0.6914,0.7589,0.7849,0.9149,1.024,1.1436,1.2891,1.4035,1.5127,1.6426,1.7206,1.8245,1.9337,2.0377,2.1364,2.1884,2.3444,2.4847,2.5887,2.7238,2.833,2.9473,3.1241,3.2176,3.332,3.4464,3.6023,3.7271,3.8674,4.0078,4.1065,4.2521,4.3716,4.4912,4.6159,4.7979,4.881,4.9954,5.1046,5.2085,5.3853,5.4736
Rússia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0021,0.0021,0.0027,0.0027,0.0055,0.0062,0.0116,0.0164,0.0206,0.0233,0.0295,0.0308,0.0322,0.0397,0.0432,0.0521,0.0644,0.0726,0.0891,0.1014,0.1165,0.1357,0.159,0.1871,0.2145,0.2474,0.2775,0.3125,0.3515,0.3803,0.4214,0.4666,0.5119,0.5441,0.5941,0.6661,0.7353,0.801,0.8374,0.8771,0.9292,0.9943,1.0532,1.1135,1.1807,1.2519,1.3122,1.3766,1.45,1.5157,1.5795
Ruanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
São Cristóvão e Névis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Lúcia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
São Vicente e Granadinas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Marino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9472,2.9472,2.9472,2.9472,2.9472,2.9472,2.9472,5.8943,5.8943,8.8415,14.7358,14.7358,14.7358,20.6301,20.6301,32.4187,32.4187,41.2602,58.9431,58.9431,58.9431,61.8903,61.8903,61.8903,61.8903,64.8375,64.8375,73.6789,76.6261,76.6261,88.4147,88.4147,94.309,94.309,94.309,100.2034,100.2034,100.2034,100.2034,103.1505,103.1505,103.1505,106.0977,106.0977,111.992,114.9391,114.9391,114.9391,114.9391,117.8863,117.8863,117.8863,117.8863,117.8863,120.8335,120.8335,120.8335,120.8335,120.8335,120.8335,120.8335,120.8335,120.8335,120.8335,120.8335,120.8335,120.8335,120.8335,120.8335,120.8335,120.8335,120.8335,120.8335
São Tomé e Príncipe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4563,0.4563,0.4563,1.3689,1.3689,1.3689,1.8252,2.2814,2.2814,2.2814,2.2814,2.2814,2.7377,3.194
Arábia Saudita,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029,0.0057,0.0086,0.0086,0.0115,0.023,0.023,0.0287,0.046,0.0603,0.0718,0.0833,0.0977,0.1092,0.1178,0.1178,0.1264,0.135,0.1494,0.1695,0.1867,0.2097,0.2269,0.2384,0.2499,0.2643,0.2786,0.2959,0.3131,0.3275,0.3476,0.3648,0.3906,0.3993,0.4136,0.4366,0.451,0.4653,0.4854,0.5055,0.5285,0.5486,0.5745,0.6003,0.6291,0.6578,0.6865,0.7066,0.7325,0.7583,0.7842,0.8129
Senegal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0119,0.0119,0.0119,0.0119,0.0119,0.0119,0.0119,0.0119,0.0119,0.0119,0.0119,0.0119,0.0119,0.0119,0.0179,0.0179,0.0299,0.0299,0.0358,0.0358,0.0418,0.0418,0.0538,0.0538,0.0538,0.0538,0.0538,0.0538,0.0538,0.0538,0.0597,0.0657,0.0717,0.0776,0.0776,0.1015,0.1135,0.1135,0.1135,0.1254,0.1374
Sérvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114,0.0114,0.0229,0.0343,0.0343,0.0458,0.0114,0.0114,0.1145,0.1488,0.1831,0.1831,0.3205,0.3548,0.4464,0.5036,0.5837,0.6638,0.6982,0.7439,0.7554,0.8126,0.8469,0.9156,0.9728,1.0758,1.1331,1.1788,1.259,1.3391,1.3963,1.4306,1.4879,1.5336,1.5909,1.6481,1.7282,1.7854,1.8541,1.9228,1.98,2.0487,2.0487,2.1631,2.2089,2.2547,2.289,2.3234,2.3577,2.392,2.4607,2.4607,2.495,2.5179,2.5408,2.5637
Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serra Leoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0251,0.0251,0.0501,0.0501,0.0501,0.0501,0.0878,0.0878,0.1003,0.1003,0.1128,0.1379,0.1755,0.2006,0.2131,0.2256,0.2256,0.2382,0.2382,0.3259,0.3259
Singapura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0342,0.0342,0.0342,0.0342,0.0342,0.0342,0.0342,0.0342,0.0513,0.0513,0.0513,0.0513,0.0684,0.0855,0.1026,0.1026,0.1026,0.1026,0.1026,0.1026,0.1197,0.1367,0.1367,0.1538,0.1709,0.1709,0.1709,0.188,0.188,0.188,0.188,0.188,0.2051,0.2051,0.2051,0.2051,0.2051,0.2393,0.2393,0.2393,0.2564,0.2735,0.2906,0.3077,0.3077,0.3077,0.3419,0.3419,0.3419,0.3419,0.3419,0.359,0.359,0.359,0.359
Eslováquia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0183,0.0183,0.0183,0.0183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0183,0.0183,0.0183,0.0183,0.0183,0.0366,0.0366,0.0366,0.0366,0.0366,0.0366,0.0366,0.0366,0.0366,0.1099,0.1465,0.1648,0.2015,0.2198,0.2381,0.2564,0.2564,0.2747,0.3114,0.3114,0.3297,0.3297,0.3663,0.403,0.4213,0.4213,0.4396,0.4396,0.4579,0.4579,0.4579,0.4762,0.4762,0.4762,0.4762,0.4762,0.4945,0.4945,0.4945
